# Iteration        Mass Balance        Mass storage      Energy balance   Fluid energy stor   Solid energy stor
        148        1.4502764161       12.9899484123        0.4463677065  5412587.8121224055        0.0000000000
        149        1.0679763341       12.9705367720        0.3435081767  5377205.9755000891        0.0000000000
        150        0.6860617652       12.9498106614        0.2401960141  5352934.7270836271        0.0000000000
        151        0.3049104919       12.9280464772        0.1365222338  5340706.7656713249        0.0000000000
        152        0.0751202898       12.9050379082        0.0325938835  5338547.1187978107        0.0000000000
        153        0.4536877810       12.8810313990        0.0714729712  5346696.6021964895        0.0000000000
        154        0.8304454367       12.8559659998        0.1755692889  5366277.9248873964        0.0000000000
        155        1.2051020764       12.8299692627        0.2795348963  5394260.4586762590        0.0000000000
        156        1.5773368864       12.8029812923        0.3832447089  5435425.8547896743        0.0000000000
        157        1.9468022150       12.7736250373        0.4866064784  5482705.9553806875        0.0000000000
        158        2.3131714785       12.7426527419        0.5895126210  5544799.4556123866        0.0000000000
        159        2.6761208699       12.7114597390        0.6918592564  5612200.0746310828        0.0000000000
        160        3.0400850642       12.6749817655        0.7946268014  5689547.9972576359        0.0000000000
        161        3.3917920860       12.6463092625        0.8945847819  5779745.7958207568        0.0000000000
        162        3.7418196210       12.6141293069        0.9942817913  5879090.2730276734        0.0000000000
        163        4.0880456719       12.5805600389        1.0930900687  5985447.2782792002        0.0000000000
        164        4.4295783176       12.5460859316        1.1907756981  6101189.6117183557        0.0000000000
        165        4.7660265834       12.5110901356        1.2872113649  6225882.5287694000        0.0000000000
        166        5.0969740931       12.4756372166        1.3822671377  6355052.6024325388        0.0000000000
        167        5.4222559740       12.4397886284        1.4758433566  6495539.2298379820        0.0000000000
        168        5.7416448789       12.4036234654        1.5678462085  6638409.9985500416        0.0000000000
        169        6.0548606215       12.3671140012        1.6581882858  6790381.5695489189        0.0000000000
        170        6.3615605960       12.3306405003        1.7467658185  6946907.3677837159        0.0000000000
        171        6.6615785274       12.2939776046        1.8334960826  7106529.5246939771        0.0000000000
        172        6.9547084983       12.2573595463        1.9182903260  7273615.1995403394        0.0000000000
        173        7.2406831009       12.2208515521        2.0010585535  7440085.9103311710        0.0000000000
        174        7.5192290344       12.1845286478        2.0817168592  7613480.3247691896        0.0000000000
        175        7.7901783121       12.1486015903        2.1601949005  7786842.8049562406        0.0000000000
        176        8.0533462894       12.1129295459        2.2364220065  7961338.8105148934        0.0000000000
        177        8.3084624747       12.0778277934        2.3103231590  8138520.8635995788        0.0000000000
        178        8.5553204523       12.0432783924        2.3818317851  8312921.6037877174        0.0000000000
        179        8.7937572283       12.0093682060        2.4508917064  8489033.2082681581        0.0000000000
        180        9.0236074719       11.9761872745        2.5174551631  8664204.1292014960        0.0000000000
        181        9.2446231632       11.9438263527        2.5814415409  8836976.0002415851        0.0000000000
        182        9.4566544632       11.9125298206        2.6427950464  9008105.8109857254        0.0000000000
        183        9.6595448186       11.8821114117        2.7014855045  9174722.5676524192        0.0000000000
        184        9.8531381542       11.8528098301        2.7574930592  9337871.4899911061        0.0000000000
        185       10.0372239914       11.8247306396        2.8107457218  9496436.8274285402        0.0000000000
        186       10.2116942148       11.7978367499        2.8611824069  9649495.6110606901        0.0000000000
        187       10.3763921931       11.7723975983        2.9088174281  9797585.7032120880        0.0000000000
        188       10.5312320483       11.7481732458        2.9535938074  9938523.9416126255        0.0000000000
        189       10.6760177070       11.7255907858        2.9954746366 10073066.8263526168        0.0000000000
        190       10.8106311379       11.7045104023        3.0344457141 10197857.8610813040        0.0000000000
        191       10.9349953746       11.6849758562        3.0704835178 10312811.4877014998        0.0000000000
        192       11.0490387122       11.6671945452        3.1035530758 10419075.7137799878        0.0000000000
        193       11.1525935098       11.6510283017        3.1336550106 10514885.6957947034        0.0000000000
        194       11.2455626373       11.6367521351        3.1607547322 10601744.7269215286        0.0000000000
        195       11.3279373703       11.6242404046        3.1848252806 10678402.0020444281        0.0000000000
        196       11.3996269118       11.6135483387        3.2058897740 10745697.1258888729        0.0000000000
        197       11.4605701379       11.6047541936        3.2239095982 10803192.7261668388        0.0000000000
        198       11.5106332668       11.5979028856        3.2388645051 10850487.7718583532        0.0000000000
        199       11.5498637459       11.5930881991        3.2507634859 10888915.5055932291        0.0000000000
        200       11.5782233641       11.5900872434        3.2595996195 10916619.5214934498        0.0000000000
        201       11.5956915476       11.5891405381        3.2653583751 10935348.3019606359        0.0000000000
        202       11.6021123826       11.5902265645        3.2680437676 10943674.5587502364        0.0000000000
        203       11.5976308059       11.5873466836        3.2676463418 10945020.2324134689        0.0000000000
        204       11.5822403376       11.5836805498        3.2641607940 10956286.9754035417        0.0000000000
        205       11.5559820909       11.5791942220        3.2575881594 10976801.1336512715        0.0000000000
        206       11.5186630233       11.5738725274        3.2479331288 11008104.2862691302        0.0000000000
        207       11.4705367508       11.5676966810        3.2352029135 11048269.3686061986        0.0000000000
        208       11.4115956420       11.5609122430        3.2193989907 11099168.4171233196        0.0000000000
        209       11.3419215751       11.5533211805        3.2005259191 11159280.7124388013        0.0000000000
        210       11.2614266625       11.5449890903        3.1786105006 11229437.2735170648        0.0000000000
        211       11.1703314596       11.5360374674        3.1536349925 11309493.5769552179        0.0000000000
        212       11.0686879738       11.5263910680        3.1256004462 11398740.7940043863        0.0000000000
        213       10.9565887330       11.5163545097        3.0945653326 11498680.2619689330        0.0000000000
        214       10.8340091706       11.5055610550        3.0605145397 11607557.5495604184        0.0000000000
        215       10.7011894059       11.4944295459        3.0234711918 11726599.2288187332        0.0000000000
        216       10.5581984766       11.4828648125        2.9834537918 11854956.4905775618        0.0000000000
        217       10.4051660693       11.4709053247        2.9404944322 11990056.4396608435        0.0000000000
        218       10.2421982412       11.4587589619        2.8946062799 12132218.4526997879        0.0000000000
        219       10.0694031852       11.4462308700        2.8458241809 12279506.5690451209        0.0000000000
        220        9.8869801014       11.4336954886        2.7941851892 12432876.0270245727        0.0000000000
        221        9.6950700730       11.4210239133        2.7397021854 12590414.5349263344        0.0000000000
        222        9.4938084507       11.4083305664        2.6824394136 12752031.3990927935        0.0000000000
        223        9.2834211131       11.3958393727        2.6224358360 12917431.9202948865        0.0000000000
        224        9.0639659945       11.3833159151        2.5597106315 13084778.6198200155        0.0000000000
        225        8.8361393971       11.3716027709        2.4943475861 13255297.4242880233        0.0000000000
        226        8.5990182242       11.3594531937        2.4263521127 13426222.7005545050        0.0000000000
        227        8.3534947764       11.3478085788        2.3558227415 13598402.4739159681        0.0000000000
        228        8.0998414675       11.3367257089        2.2828091506 13770380.5795420930        0.0000000000
        229        7.8381553541       11.3261989303        2.2073589532 13941694.2529135048        0.0000000000
        230        7.5686579379       11.3163467070        2.1295493278 14111820.5626206845        0.0000000000
        231        7.2915458013       11.3072223450        2.0494584403 14280085.9713942166        0.0000000000
        232        7.0070319344       11.2988361199        1.9671594343 14445213.4410302248        0.0000000000
        233        6.7153522078       11.2913987207        1.8827297795 14607807.3596333396        0.0000000000
        234        6.4168198909       11.2848720806        1.7962614889 14765609.6548161041        0.0000000000
        235        6.1115132451       11.2793979158        1.7078223389 14919714.7572269663        0.0000000000
        236        5.7997130932       11.2748729138        1.6175086521 15068072.5627803989        0.0000000000
        237        5.4817507304       11.2715525595        1.5254246297 15210847.4774690773        0.0000000000
        238        5.1578365119       11.2694815325        1.4316664505 15347597.7094273940        0.0000000000
        239        4.8282598641       11.2686580904        1.3363365245 15477238.0987389404        0.0000000000
        240        4.4932763183       11.2692036931        1.2395269684 15599819.6858211532        0.0000000000
        241        4.1531521490       11.2711294773        1.1413497882 15714594.2192399818        0.0000000000
        242        3.8081657551       11.2744576273        1.0419223847 15820907.0035438556        0.0000000000
        243        3.4585891789       11.2793427937        0.9413542762 15919067.8976106737        0.0000000000
        244        3.1047222535       11.2857263231        0.8397624029 16008012.2226069029        0.0000000000
        245        2.7468411506       11.2936525564        0.7372683152 16087471.4939528145        0.0000000000
        246        2.3852517616       11.3032496275        0.6339847549 16157769.8571115285        0.0000000000
        247        2.0202773727       11.3143766294        0.5300170581 16217593.4641092662        0.0000000000
        248        1.6522076516       11.3272401517        0.4254936820 16267907.1642273311        0.0000000000
        249        1.2813548047       11.3417202833        0.3205516493 16307547.6885501482        0.0000000000
        250        0.9080230743       11.3578804544        0.2153128992 16336755.8857448250        0.0000000000
        251        0.5325367118       11.3757709690        0.1099078059 16355629.0907955058        0.0000000000
        252        0.1552420980       11.3953211339        0.0044390859 16363747.7157470100        0.0000000000
        253        0.2235190317       11.4165141030        0.1009824676 16361080.2516385689        0.0000000000
        254        0.6034284545       11.4394417297        0.2062087264 16348148.4796085991        0.0000000000
        255        0.9841541697       11.4639656121        0.3111128161 16324245.8697448354        0.0000000000
        256        1.3653445862       11.4901641492        0.4155695858 16290037.4318935163        0.0000000000
        257        1.7466490854       11.5179808921        0.5194656112 16245526.7667367905        0.0000000000
        258        2.1276923974       11.5473149380        0.6227009278 16190567.5390750784        0.0000000000
        259        2.5081161631       11.5782252733        0.7251575850 16125941.7830917612        0.0000000000
        260        2.8875763789       11.6106157443        0.8267036310 16051538.6103055347        0.0000000000
        261        3.2657196495       11.6443709678        0.9272288707 15967307.9074050933        0.0000000000
        262        3.6421416201       11.6795996811        1.0266174917 15874521.9180302527        0.0000000000
        263        4.0164839702       11.7160572857        1.1247730552 15772733.5594279226        0.0000000000
        264        4.3883616111       11.7537347660        1.2215916582 15662395.2521615271        0.0000000000
        265        4.7573863566       11.7925778536        1.3169744983 15544107.9102897551        0.0000000000
        266        5.1231635888       11.8325599548        1.4108329487 15418472.1037859973        0.0000000000
        267        5.4852737960       11.8735262387        1.5030991185 15285268.7794979624        0.0000000000
        268        5.8432950394       11.9154243391        1.5937071018 15145024.6990461815        0.0000000000
        269        6.1968421750       11.9583145256        1.6825624677 14999157.8729538731        0.0000000000
        270        6.5455561588       12.0018398587        1.7695541108 14846882.3692873530        0.0000000000
        271        6.8890845862       12.0460646463        1.8545707528 14690150.8145689107        0.0000000000
        272        7.2270646555       12.0906997418        1.9375154427 14529078.0223544687        0.0000000000
        273        7.5591356517       12.1357816548        2.0182922706 14365431.8270813096        0.0000000000
        274        7.8849151374       12.1809407251        2.0968277749 14198368.5531429835        0.0000000000
        275        8.2040092558       12.2262724861        2.1730615518 14029738.5139757860        0.0000000000
        276        8.5160244075       12.2714432283        2.2469401951 13858851.1486781612        0.0000000000
        277        8.8205931499       12.3165601088        2.3183961586 13687749.8576426897        0.0000000000
        278        9.1173702814       12.3612637078        2.3873499593 13515729.9697252847        0.0000000000
        279        9.4059622790       12.4055959090        2.4537719095 13344829.0004296582        0.0000000000
        280        9.6859530484       12.4492469693        2.5176596198 13174737.0215561911        0.0000000000
        281        9.9570276164       12.4923305909        2.5789261210 13006778.4892809689        0.0000000000
        282       10.2188019023       12.5346605270        2.6375522899 12840628.5993771981        0.0000000000
        283       10.4707920725       12.5762195835        2.6936180613 12677683.3362327628        0.0000000000
        284       10.7126794838       12.6168604807        2.7470703284 12517869.8719256781        0.0000000000
        285       10.9441790175       12.6565560607        2.7978433712 12362187.8504701219        0.0000000000
        286       11.1649039310       12.6950433333        2.8459739711 12211227.8978797663        0.0000000000
        287       11.3746454921       12.7322514945        2.8913560974 12065551.6614477541        0.0000000000
        288       11.5730957373       12.7680441092        2.9339848748 11925908.0166206975        0.0000000000
        289       11.7599766705       12.8022266826        2.9738406410 11792570.6645729039        0.0000000000
        290       11.9350340559       12.8347950361        3.0108965182 11666999.9605818111        0.0000000000
        291       12.0980092828       12.8655040792        3.0451453923 11550668.9950875826        0.0000000000
        292       12.2486455471       12.8943739727        3.0765930790 11444371.1875975188        0.0000000000
        293       12.3868012293       12.9212324291        3.1051614121 11346668.5166220274        0.0000000000
        294       12.5121475289       12.9461519279        3.1309520219 11259777.8665990327        0.0000000000
        295       12.6245717020       12.9687681538        3.1538946148 11181392.5989798252        0.0000000000
        296       12.7239624802       12.9894243121        3.1739355857 11113689.5668662973        0.0000000000
        297       12.8100858372       13.0075844666        3.1911433681 11054551.0811996330        0.0000000000
        298       12.8827843883       13.0236175184        3.2055390092 11006493.0349023473        0.0000000000
        299       12.9420000332       13.0370781007        3.2170755028 10966766.1899359487        0.0000000000
        300       12.9876586138       13.0483608770        3.2257385177 10938002.4810594041        0.0000000000
        301       13.0196770100       13.0569953086        3.2315383135 10917743.1164549626        0.0000000000
        302       13.0379932071       13.0633624917        3.2344889387 10908304.5071344171        0.0000000000
        303       13.0425689126       13.0670832429        3.2346001293 10907594.0493309982        0.0000000000
        304       13.0333962633       13.0649415112        3.2318739212 10898802.4556875974        0.0000000000
        305       13.0104860942       13.0632964900        3.2263152675 10879734.9576665573        0.0000000000
        306       12.9738754236       13.0623783015        3.2179257241 10851550.8552416265        0.0000000000
        307       12.9236165378       13.0619618924        3.2067118559 10813087.2982772086        0.0000000000
        308       12.8597835651       13.0622408650        3.1926792261 10765766.3318482004        0.0000000000
        309       12.7824673700       13.0629922816        3.1758370009 10708317.4281360526        0.0000000000
        310       12.6917826255       13.0643625310        3.1561917808 10641700.6290385071        0.0000000000
        311       12.5878999344       13.0662672450        3.1337215700 10565315.4123167079        0.0000000000
        312       12.4679230724       13.0653743976        3.1066037300 10473126.8589786794        0.0000000000
        313       12.3408561792       13.0710804542        3.0801631119 10383299.6497860365        0.0000000000
        314       12.1985169873       13.0745605605        3.0495775459 10278911.0678941086        0.0000000000
        315       12.0434360183       13.0781961714        3.0160403996 10164959.6000669990        0.0000000000
        316       11.8760052570       13.0820433000        2.9797608501 10041246.3896612804        0.0000000000
        317       11.6965297307       13.0862319497        2.9408066591  9908683.6937713698        0.0000000000
        318       11.5053262255       13.0905529202        2.8990776694  9768424.1234331038        0.0000000000
        319       11.3025037593       13.0951255659        2.8547436250  9622760.4066586364        0.0000000000
        320       11.0884893252       13.0995817924        2.8076930868  9470169.4255429581        0.0000000000
        321       10.8635033163       13.1043332852        2.7580558730  9314167.5267504510        0.0000000000
        322       10.6279582305       13.1087550531        2.7057360440  9151730.5309221689        0.0000000000
        323       10.3820201554       13.1133917260        2.6509032548  8987295.1764017679        0.0000000000
        324       10.1261675953       13.1175850021        2.5934616790  8817935.3182323426        0.0000000000
        325        9.8606448569       13.1218266963        2.5335309447  8647663.6530923210        0.0000000000
        326        9.5858225561       13.1255704016        2.4711302299  8474273.7533944119        0.0000000000
        327        9.3021447844       13.1291409183        2.4062223930  8300671.6804806450        0.0000000000
        328        9.0098707492       13.1320723570        2.3389458593  8125378.8305367902        0.0000000000
        329        8.7093743569       13.1346578588        2.2693437803  7951122.6223257128        0.0000000000
        330        8.4010914643       13.1364830833        2.1974145935  7776340.9406463727        0.0000000000
        331        8.0854347183       13.1379178144        2.1231827242  7604135.1863258434        0.0000000000
        332        7.7627305856       13.1384086948        2.0467571337  7432151.4242261462        0.0000000000
        333        7.4333407223       13.1384322450        1.9682253938  7266725.9020530330        0.0000000000
        334        7.0976947297       13.1373950383        1.8876164682  7101421.8129214216        0.0000000000
        335        6.7562079295       13.1356838440        1.8049765924  6942863.7413533786        0.0000000000
        336        6.4092721787       13.1329195165        1.7203792517  6787864.2688403968        0.0000000000
        337        6.0572784005       13.1292553516        1.6339036416  6637777.3834362393        0.0000000000
        338        5.7006143106       13.1245820372        1.5456349226  6493703.3030690374        0.0000000000
        339        5.3396785522       13.1187995219        1.4556506265  6355596.8979873620        0.0000000000
        340        4.9748638843       13.1119955726        1.3640374805  6224876.6105367681        0.0000000000
        341        4.6065688553       13.1039945285        1.2708771762  6101189.5495585529        0.0000000000
        342        4.2351842482       13.0948776625        1.1762612313  5985691.9131118497        0.0000000000
        343        3.8611014778       13.0845411768        1.0802818197  5878368.9991660388        0.0000000000
        344        3.4847045368       13.0729758850        0.9830371423  5779753.6163241370        0.0000000000
        345        3.1063784770       13.0601972869        0.8846255660  5690477.1097342735        0.0000000000
        346        2.7265019774       13.0461676823        0.7851504357  5610726.5475985585        0.0000000000
